activation_list,train_accuracy,test_accuracy,Diff
"('tanh', 'exponential', 'softmax')",0.9047619047619048,0.9111111111111111,0.006349206349206327
"('elu', 'elu', 'softmax')",0.9238095238095239,0.9333333333333333,0.00952380952380949
"('relu', 'elu', 'softmax')",0.8571428571428571,0.8666666666666667,0.009523809523809601
"('elu', 'selu', 'softmax')",0.8761904761904762,0.8888888888888888,0.012698412698412653
"('selu', 'exponential', 'softmax')",0.7619047619047619,0.7777777777777778,0.015873015873015928
"('selu', 'tanh', 'softmax')",0.819047619047619,0.8,0.01904761904761898
"('relu', 'tanh', 'softmax')",0.8761904761904762,0.9111111111111111,0.03492063492063491
"('relu', 'exponential', 'softmax')",0.5619047619047619,0.5111111111111111,0.050793650793650835
"('elu', 'exponential', 'softmax')",0.8571428571428571,0.9111111111111111,0.053968253968254
"('elu', 'tanh', 'softmax')",0.7428571428571429,0.6666666666666666,0.07619047619047625
"('tanh', 'tanh', 'softmax')",0.7714285714285715,0.6888888888888889,0.08253968253968258
"('sigmoid', 'selu', 'softmax')",0.6857142857142857,0.6,0.08571428571428574
"('sigmoid', 'tanh', 'softmax')",0.6857142857142857,0.6,0.08571428571428574
"('exponential', 'exponential', 'softmax')",0.6952380952380952,0.6,0.09523809523809523
"('relu', 'sigmoid', 'softmax')",0.6285714285714286,0.5333333333333333,0.09523809523809523
"('selu', 'selu', 'softmax')",0.780952380952381,0.8888888888888888,0.10793650793650789
"('sigmoid', 'exponential', 'softmax')",0.6190476190476191,0.5111111111111111,0.107936507936508
"('relu', 'selu', 'softmax')",0.819047619047619,0.9333333333333333,0.11428571428571432
"('relu', 'relu', 'softmax')",0.6571428571428571,0.7777777777777778,0.12063492063492065
"('sigmoid', 'sigmoid', 'softmax')",0.37142857142857144,0.24444444444444444,0.126984126984127
"('sigmoid', 'elu', 'softmax')",0.4,0.24444444444444444,0.15555555555555559
